Ativo,Tendencia 200 dias,Gap Relevante 7 dias,Rompimento 20 dias,Topos e Fundos,SP500 em baixa,3 Balanço negativo,Setor Fragilizado,negativas de lucro (EPS),Short Float 10,ATR acima da média 3 meses,Histórico com gaps relevantes,proximo Balanco,Total
GL,0,1,0,0,0,0,0,0,0,1,1,2025-07-23,0
MMC,0,0,1,0,0,0,0,0,0,1,0,2025-07-16,1
AOS,1,0,0,0,0,0,0,0,0,0,0,2025-07-24,0
APH,0,1,0,0,0,0,0,0,0,0,1,2025-07-23,1
GEV,0,1,0,0,0,0,0,0,0,0,1,2025-07-23,0
EQT,0,0,1,0,0,0,0,0,0,0,0,2025-07-22,1
CME,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,1
VLO,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,1
HLT,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,1
WAB,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,1
BX,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,0
NDAQ,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,0
NEE,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,1
CNP,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,0
LVS,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,1
LHX,0,0,0,0,0,0,0,0,0,1,0,2025-07-24,0
T,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,0
RTX,0,0,0,0,0,0,0,0,0,1,0,2025-07-22,1
RJF,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,0
PKG,0,0,0,0,0,0,0,0,0,1,0,2025-07-23,0
NOC,0,0,0,0,0,0,0,0,0,0,0,2025-07-23,0
NTRS,0,0,0,0,0,0,0,0,0,0,0,2025-07-23,1
FCX,0,0,0,0,0,0,0,0,0,0,0,2025-07-23,1
PNR,0,0,0,0,0,0,0,0,0,0,0,2025-07-22,0
GD,0,0,0,0,0,0,0,0,0,0,0,2025-07-23,0
HCA,0,0,0,0,0,1,1,0,0,1,0,2025-07-25,1
CNC,1,1,0,0,0,0,1,0,0,1,1,2025-07-25,0
PSX,0,0,0,0,0,1,0,0,0,1,0,2025-07-25,1
AON,0,1,1,0,0,0,0,0,0,1,1,2025-07-25,0
CHTR,0,1,0,0,0,0,0,0,1,1,1,2025-07-25,1
STX,0,0,0,0,0,1,0,0,0,0,0,2025-07-22,1
ABT,0,0,1,0,0,0,1,0,0,0,0,2025-07-17,1
MMC,0,0,1,0,0,0,0,0,0,1,0,2025-07-17,1
JBHT,1,0,0,0,0,0,0,0,0,0,0,2025-07-15,1
WFC,0,1,0,0,0,0,0,0,0,0,1,2025-07-15,1
GS,0,0,0,0,0,0,0,0,0,1,0,2025-07-16,0
PLD,0,0,0,0,0,0,0,0,0,1,0,2025-07-16,0
UAL,0,0,0,0,0,0,0,0,0,0,0,2025-07-16,1
UHS,0,0,1,0,0,1,1,0,0,1,0,2025-07-28,1
HIG,0,0,1,1,0,1,0,0,0,1,0,2025-07-28,1
NUE,1,1,0,0,0,1,0,0,0,1,1,2025-07-28,0
VLTO,0,0,0,0,0,1,0,0,0,1,0,2025-07-28,0
PFG,0,0,0,0,0,1,0,0,0,1,0,2025-07-28,1
RVTY,0,0,0,0,0,0,1,0,0,0,0,2025-07-28,1
BRO,0,0,1,0,0,0,0,0,0,1,0,2025-07-28,1
WM,0,0,0,0,0,0,0,0,0,1,0,2025-07-28,0
WELL,0,0,0,0,0,0,0,0,0,1,0,2025-07-28,1
CDNS,0,0,0,0,0,0,0,0,0,1,0,2025-07-28,0
CINF,0,0,0,0,0,0,0,0,0,1,0,2025-07-28,1
MRK,1,1,0,0,0,1,1,0,0,1,1,2025-07-29,1
BAX,1,0,1,0,0,1,1,0,0,0,0,2025-07-31,1
AJG,0,0,1,1,0,1,0,0,0,1,0,2025-07-31,1
UNH,0,1,0,0,0,1,1,0,0,1,1,2025-07-29,1
REGN,0,1,0,0,0,1,1,0,0,1,1,2025-08-01,0
ACGL,0,0,1,1,0,1,0,0,0,1,0,2025-07-29,1
FTV,0,0,1,1,0,1,0,0,0,1,0,2025-07-30,1
KMB,0,0,1,1,0,1,0,0,0,1,0,2025-08-01,0
BIIB,1,0,0,0,0,1,1,0,0,0,0,2025-07-31,1
MRNA,1,1,0,0,0,1,1,0,1,0,1,2025-08-01,1
HOLX,0,0,0,0,0,1,1,0,0,1,0,2025-07-30,1
BG,1,0,1,0,0,1,0,0,0,1,0,2025-07-30,0
SWK,1,1,0,0,0,1,0,0,0,1,1,2025-07-29,1
APTV,1,1,0,0,0,1,0,0,0,1,1,2025-07-31,1
ODFL,1,0,0,0,0,1,0,0,0,1,0,2025-07-30,1
MGM,1,1,0,0,0,1,0,0,1,1,1,2025-07-30,0
FSLR,0,1,0,0,0,1,0,0,0,1,1,2025-07-31,1
MPWR,0,1,0,0,0,1,0,0,0,1,1,2025-07-31,1
HUM,1,1,0,0,0,0,1,0,0,1,1,2025-07-30,0
F,0,1,0,0,0,1,0,0,0,1,1,2025-07-30,1
INVH,0,0,1,0,0,1,0,0,0,1,0,2025-07-30,1
META,0,1,0,0,0,1,0,0,0,1,1,2025-07-30,1
CHRW,0,1,0,0,0,1,0,0,0,1,1,2025-07-30,1
INCY,0,1,1,0,0,0,1,0,0,1,1,2025-07-29,0
KHC,1,0,0,0,0,1,0,0,0,0,0,2025-07-30,1
LYB,1,0,0,0,0,1,0,0,0,0,0,2025-08-01,1
COIN,0,1,0,0,0,1,0,0,0,0,1,2025-07-31,1
TER,0,1,0,0,0,1,0,0,0,0,1,2025-07-29,1
AES,0,1,0,0,0,1,0,0,0,0,1,2025-07-31,1
PWR,0,1,0,0,0,1,0,0,0,0,1,2025-07-31,1
LIN,0,0,0,0,0,1,0,0,0,1,0,2025-08-01,1
EBAY,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,1
ALGN,1,0,0,0,0,0,1,0,0,1,0,2025-07-30,0
D,0,0,0,0,0,1,0,0,0,1,0,2025-08-01,0
CPT,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,1
DTE,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
EMN,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,1
KLAC,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,1
FE,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,0
AAPL,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,1
UDR,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,1
XYL,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,0
HUBB,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
ICE,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,0
AFL,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
ES,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,1
BXP,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
SPGI,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,0
CL,0,0,0,0,0,1,0,0,0,1,0,2025-08-01,1
VICI,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,1
PRU,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,1
CMS,0,0,0,0,0,1,0,0,0,1,0,2025-07-31,0
MSFT,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,0
CARR,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
AMT,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
AEP,0,0,0,0,0,1,0,0,0,1,0,2025-07-30,0
BA,0,0,0,0,0,1,0,0,0,1,0,2025-07-29,1
PSA,0,0,1,1,0,0,0,0,0,1,0,2025-07-30,0
ABBV,0,1,0,0,0,0,1,0,0,1,1,2025-07-31,1
RMD,0,1,0,0,0,0,1,0,0,1,1,2025-07-31,1
GEHC,0,1,0,0,0,0,1,0,0,1,1,2025-07-30,1
DXCM,0,1,0,0,0,0,1,0,0,1,1,2025-07-30,0
CVS,0,1,0,0,0,0,1,0,0,1,1,2025-07-31,0
CZR,1,0,0,0,0,1,0,0,1,0,0,2025-07-29,1
TT,0,0,0,0,0,1,0,0,0,0,0,2025-07-30,1
IR,0,0,0,0,0,1,0,0,0,0,0,2025-07-31,1
PYPL,0,0,0,0,0,1,0,0,0,0,0,2025-07-29,1
XEL,0,0,0,0,0,0,0,1,0,1,0,2025-07-31,0
BMY,0,1,0,0,0,0,1,0,0,0,1,2025-07-31,1
PCG,0,0,0,1,0,0,0,0,0,1,0,2025-07-31,0
CTSH,0,0,0,1,0,0,0,0,0,1,0,2025-07-30,1
CI,0,0,0,0,0,0,1,0,0,1,0,2025-07-31,1
UPS,1,1,0,0,0,0,0,0,0,1,1,2025-07-29,1
VRSK,0,1,1,0,0,0,0,0,0,1,1,2025-07-30,1
EQIX,0,1,1,0,0,0,0,0,0,1,1,2025-07-30,0
K,0,1,1,0,0,0,0,0,0,1,1,2025-07-31,0
IEX,1,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
BEN,1,0,0,0,0,0,0,0,0,1,0,2025-08-01,1
PPG,1,0,0,0,0,0,0,0,0,1,0,2025-07-29,1
HST,1,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
SBUX,0,1,0,0,0,0,0,0,0,1,1,2025-07-29,1
XOM,0,0,1,0,0,0,0,0,0,1,0,2025-08-01,1
ADP,0,0,1,0,0,0,0,0,0,1,0,2025-07-30,0
AVB,0,0,1,0,0,0,0,0,0,1,0,2025-07-30,1
NCLH,0,1,0,0,0,0,0,0,0,1,1,2025-07-31,0
GRMN,0,1,0,0,0,0,0,0,0,1,1,2025-07-30,1
HWM,0,1,0,0,0,0,0,0,0,1,1,2025-07-31,1
REG,0,0,1,0,0,0,0,0,0,1,0,2025-07-29,0
EA,0,1,0,0,0,0,0,0,0,1,1,2025-07-29,1
MA,0,0,1,0,0,0,0,0,0,1,0,2025-07-31,1
V,0,0,1,0,0,0,0,0,0,1,0,2025-07-29,1
ECL,0,1,0,0,0,0,0,0,0,1,1,2025-07-29,1
RSG,0,0,1,0,0,0,0,0,0,1,0,2025-07-29,0
JCI,0,1,0,0,0,0,0,0,0,1,1,2025-07-29,1
PG,0,0,1,0,0,0,0,0,0,1,0,2025-07-29,1
SW,0,1,0,0,0,0,0,0,0,1,1,2025-07-30,1
ALB,1,1,0,0,0,0,0,0,1,0,1,2025-07-30,1
CMCSA,1,0,0,0,0,0,0,0,0,0,0,2025-07-31,1
BLDR,0,1,0,0,0,0,0,0,0,0,1,2025-07-31,1
MO,0,0,1,0,0,0,0,0,0,0,0,2025-07-30,0
EXE,0,0,1,0,0,0,0,0,0,0,0,2025-07-29,0
WDC,0,1,0,0,0,0,0,0,0,0,1,2025-07-30,0
AEE,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
AMZN,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
WEC,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
VMC,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
RCL,0,0,0,0,0,0,0,0,0,1,0,2025-07-29,1
SYY,0,0,0,0,0,0,0,0,0,1,0,2025-07-29,1
APD,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,1
SO,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,1
VTR,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
AME,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
WTW,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
AWK,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
IP,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,1
KIM,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,1
ETR,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,0
KKR,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,1
LRCX,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,0
MAA,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
MAS,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
ITW,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
CBRE,0,0,0,0,0,0,0,0,0,1,0,2025-07-29,0
CBOE,0,0,0,0,0,0,0,0,0,1,0,2025-08-01,0
QCOM,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,0
EXR,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,1
CHD,0,0,0,0,0,0,0,0,0,1,0,2025-08-01,1
EXC,0,0,0,0,0,0,0,0,0,1,0,2025-07-31,0
GNRC,0,0,0,0,0,0,0,0,0,1,0,2025-07-30,0
HSY,0,0,0,0,0,0,0,0,0,0,0,2025-07-30,0
TROW,0,0,0,0,0,0,0,0,0,0,0,2025-08-01,1
PTC,0,0,0,0,0,0,0,0,0,0,0,2025-07-30,1
PPL,0,0,0,0,0,0,0,0,0,0,0,2025-07-31,1
CVX,0,0,0,0,0,0,0,0,0,0,0,2025-08-01,1
GLW,0,0,0,0,0,0,0,0,0,0,0,2025-07-29,0
CLX,0,0,0,0,0,0,0,0,0,0,0,2025-07-31,1
NSC,0,0,0,0,0,0,0,0,0,0,0,2025-07-29,1
MDLZ,0,0,0,0,0,0,0,0,0,0,0,2025-07-29,1
IDXX,1,1,0,0,0,1,1,0,0,0,1,2025-08-04,0
L,0,0,0,0,0,1,0,1,0,1,0,2025-08-04,0
CTRA,0,0,1,0,0,1,0,0,0,1,0,2025-08-04,1
WAT,0,1,1,0,0,0,1,0,0,1,1,2025-08-04,1
AXON,0,1,1,1,0,0,0,0,0,1,1,2025-08-04,0
EQR,0,0,1,0,0,1,0,0,0,0,0,2025-08-04,1
VRTX,0,1,0,0,0,0,1,0,0,1,1,2025-08-04,1
TSN,0,0,1,0,0,0,1,0,0,1,0,2025-08-04,0
PGR,0,0,1,1,0,0,0,0,0,1,0,2025-08-04,1
SBAC,0,0,0,0,0,1,0,0,0,0,0,2025-08-04,0
FANG,1,0,0,0,0,0,0,0,0,1,0,2025-08-04,1
PLTR,0,1,0,0,0,0,0,0,0,1,1,2025-08-04,1
ON,1,0,0,0,0,0,0,0,0,0,0,2025-08-04,1
SPG,0,0,0,0,0,0,0,0,0,1,0,2025-08-04,1
WMB,0,0,0,0,0,0,0,0,0,1,0,2025-08-04,0
OKE,0,0,0,0,0,0,0,0,0,1,0,2025-08-04,1
PARA,0,1,0,0,0,0,0,0,1,0,1,2025-07-31,1
AMD,1,0,0,0,0,1,0,0,0,0,0,2025-08-05,1
AFL,0,0,1,0,0,1,0,0,0,1,0,2025-08-05,0
ABNB,0,1,0,0,0,1,0,0,0,1,1,2025-08-06,0
AKAM,1,0,0,0,0,1,0,0,0,1,0,2025-08-07,0
LNT,0,0,0,0,0,0,0,0,0,0,0,2025-08-07,0
AIG,0,0,1,0,0,0,0,0,0,1,0,2025-08-06,0
AMGN,0,1,0,0,0,0,1,0,0,1,1,2025-08-05,0
APA,1,0,1,0,0,1,0,0,1,1,0,2025-08-06,1
APO,0,0,0,0,0,0,0,0,0,0,0,2025-08-05,1
ADM,1,0,0,0,0,1,0,0,0,1,0,2025-08-05,0
ANET,0,1,0,0,0,1,0,0,0,1,1,2025-08-05,1
AIZ,0,0,1,0,0,0,0,0,0,1,0,2025-08-05,0
ATO,0,0,0,0,0,0,0,0,0,1,0,2025-08-06,1
BALL,0,0,0,0,0,1,0,0,0,1,0,2025-08-05,1
BDX,1,0,0,0,0,1,1,0,0,1,0,2025-08-07,0
TECH,0,1,0,0,0,0,1,0,0,0,1,2025-08-06,1
BR,0,0,0,0,0,0,0,0,0,0,0,2025-08-05,0
CAT,0,0,0,0,0,1,0,0,0,0,0,2025-08-05,0
CDW,1,1,1,1,0,1,0,0,0,1,1,2025-08-06,1
COR,0,0,0,0,0,0,1,0,0,1,0,2025-08-06,1
CF,0,0,1,0,0,0,0,0,0,1,0,2025-08-06,1
CRL,1,1,0,0,0,0,1,0,0,0,1,2025-08-06,1
COP,1,0,0,0,0,0,0,0,0,1,0,2025-08-07,0
ED,0,0,0,0,0,0,0,0,0,1,0,2025-08-07,0
CEG,0,1,0,0,0,1,0,0,0,0,1,2025-08-07,1
CTVA,0,0,1,0,0,1,0,0,0,1,0,2025-08-06,1
CMI,0,0,0,0,0,0,0,0,0,0,0,2025-08-05,0
DVA,0,1,0,0,0,1,1,0,1,0,1,2025-08-05,1
DAY,0,0,0,0,0,0,0,0,0,1,0,2025-08-06,1
DVN,1,0,1,0,0,0,0,0,0,1,0,2025-08-05,1
DASH,0,0,0,0,0,0,0,0,0,1,0,2025-08-06,0
DUK,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,0
DD,0,1,0,0,0,0,0,0,0,0,1,2025-08-05,0
ETN,0,1,0,0,0,1,0,0,0,0,1,2025-08-05,1
EMR,0,0,0,0,0,0,0,0,0,0,0,2025-08-06,1
EOG,0,0,1,0,0,0,0,0,0,1,0,2025-08-07,0
EPAM,1,1,0,0,0,0,0,0,0,1,1,2025-08-07,0
EVRG,0,0,0,0,0,0,0,0,0,0,0,2025-08-07,0
EXPE,0,1,0,0,0,0,0,0,0,1,1,2025-08-07,0
EXPD,0,0,0,0,0,0,0,0,0,0,0,2025-08-05,0
FRT,0,0,1,0,0,0,0,0,0,1,0,2025-08-06,0
FTNT,0,1,0,0,0,0,0,0,0,1,1,2025-08-06,1
FOXA,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,1
IT,0,0,1,0,0,0,0,0,0,1,0,2025-08-05,1
GEN,0,1,0,0,0,1,0,0,0,1,1,2025-08-07,1
GILD,0,0,0,0,0,0,1,0,0,1,0,2025-08-07,1
GPN,1,1,0,0,0,0,0,1,0,0,1,2025-08-06,0
GDDY,0,1,1,1,0,0,0,0,0,1,1,2025-08-07,1
HSIC,0,0,0,0,0,1,1,0,0,0,0,2025-08-05,1
PODD,0,1,1,0,0,0,1,0,0,1,1,2025-08-07,0
IFF,0,0,0,0,0,1,0,0,0,1,0,2025-08-05,1
IRM,0,0,1,0,0,1,0,0,0,1,0,2025-08-06,1
J,0,0,0,0,0,1,0,0,0,0,0,2025-08-05,0
KVUE,0,1,0,0,0,0,0,0,0,1,1,2025-08-07,0
LDOS,0,0,1,0,0,0,0,0,0,1,0,2025-08-05,0
LLY,0,1,0,0,0,1,1,0,0,1,1,2025-08-07,1
LYV,0,0,0,0,0,0,0,0,1,0,0,2025-08-07,0
MPC,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,1
MAR,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,1
MTCH,0,1,0,0,0,1,0,0,0,1,1,2025-08-05,1
MCD,0,0,0,0,0,0,0,0,0,1,0,2025-08-06,0
MCK,0,1,0,0,0,0,1,0,0,1,1,2025-08-06,0
MET,0,0,1,0,0,1,0,1,0,0,0,2025-08-06,0
MCHP,1,1,0,0,0,0,0,0,0,0,1,2025-08-07,1
TAP,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,0
MNST,0,1,1,0,0,0,0,0,0,0,1,2025-08-07,0
MOS,0,0,0,0,0,1,0,0,0,1,0,2025-08-05,1
MSI,0,0,0,0,0,0,0,0,0,1,0,2025-08-07,0
NWSA,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,0
NI,0,0,0,0,0,0,0,0,0,0,0,2025-08-06,1
NRG,0,1,0,0,0,1,0,0,0,0,1,2025-08-06,1
OXY,1,0,1,0,0,0,0,0,0,1,0,2025-08-06,1
PH,0,0,0,0,0,0,0,0,0,0,0,2025-08-07,0
PAYC,0,1,0,0,0,0,0,0,0,1,1,2025-08-06,1
PFE,0,0,0,0,0,0,1,0,0,1,0,2025-08-05,0
PNW,0,0,0,0,0,0,0,0,0,0,0,2025-08-06,0
PEG,0,0,0,0,0,1,0,0,0,1,0,2025-08-05,1
RL,0,1,0,0,0,0,0,0,0,1,1,2025-08-07,1
O,0,0,0,1,0,0,0,1,0,0,0,2025-08-06,0
ROK,0,1,0,0,0,1,0,0,0,0,1,2025-08-06,1
SRE,0,1,0,0,0,0,0,0,0,0,1,2025-08-07,0
SWKS,1,1,0,0,0,1,0,0,0,1,1,2025-08-05,1
SOLV,0,0,1,0,0,1,1,0,0,1,0,2025-08-07,0
STE,0,0,1,0,0,1,1,0,0,1,0,2025-08-06,1
SMCI,0,1,0,0,0,1,0,1,1,0,1,2025-08-05,1
TTWO,0,0,1,0,0,0,0,0,0,1,0,2025-08-07,0
TRGP,0,0,1,0,0,0,0,0,0,1,0,2025-08-07,0
TKO,0,0,1,0,0,0,0,0,0,1,0,2025-08-06,1
TRMB,0,0,0,0,0,0,0,0,0,0,0,2025-08-06,0
UBER,0,0,0,0,0,1,0,0,0,1,0,2025-08-06,0
VTRS,0,1,0,0,0,0,1,0,0,1,1,2025-08-07,0
VST,0,1,0,0,0,0,0,0,0,0,1,2025-08-07,1
DIS,0,1,1,0,0,0,0,0,0,1,1,2025-08-06,1
WBD,0,1,0,0,0,0,0,0,0,1,1,2025-08-07,1
WYNN,0,0,0,0,0,1,0,0,0,1,0,2025-08-07,1
YUM,0,0,0,0,0,0,0,0,0,1,0,2025-08-05,1
ZBH,1,0,0,0,0,0,1,0,0,1,0,2025-08-07,0
ZTS,1,0,1,1,0,1,1,0,0,1,0,2025-08-05,1
